Simulation Number	Main Iteration	Sub Iteration	Step Number	f(x)	x1	x2	x3	x4	x5
1	1	1	1	5.0	1.0	1.0	1.0	-1.0	-1.0	Generation 1.
2	2	1	1	1.55728325357972	0.4617563814065817	-0.17983837701559668	-0.5845703173805659	0.4	-0.9	Generation 1.
3	3	1	1	3.08095186894653	0.9355118188482414	-0.9877656354684774	0.9274095940464153	-0.1	0.6	Generation 1.
4	4	1	1	2.45638886068983	0.8943898353263877	0.8741642977919393	-0.2056513156305888	-0.6	0.7	Generation 1.
5	5	1	1	1.65974328385763	-0.41188593599192647	0.012967254652470173	-0.7680658239346845	0.9	0.3	Generation 1.
6	6	1	1	0.952892468763049	0.31978541738683997	-0.6865062188603075	-0.24359590935788944	-0.4	0.4	Generation 1.
7	7	1	1	1.55467513452482	0.38989595920498377	0.6104555429474274	-0.9899496480150949	-0.1	0.2	Generation 1.
8	8	1	1	0.85204011800253	0.4879689724746332	-0.7159545935681477	-0.03654339684880403	-0.1	-0.3	Generation 1.
9	9	1	1	0.442956382217327	0.154200522748553	-0.5901729084828768	0.2467276212633316	0.0	-0.1	Generation 1.
10	10	1	1	2.28188022424209	-0.9786311780355423	-0.6779133532565955	-0.6438903067256505	-0.3	0.6	Generation 1.
11	11	1	1	1.8518085911445	0.9476680198374003	-0.5091468928374088	-0.21095818741155647	-0.7	0.4	Generation 1.
12	12	1	1	1.59143091549623	-0.13598624021292172	-0.5336884104973332	0.7798175033107542	-0.2	-0.8	Generation 1.
13	13	1	1	0.968540502244199	0.18475848772587744	0.31034720625883283	-0.7603219153916208	0.1	-0.5	Generation 1.
14	14	1	1	1.92513685045532	0.9686456013385898	-0.5865249852789853	-0.2507009994120597	-0.7	0.3	Generation 1.
15	15	1	1	0.843709962145099	-0.3327795776506606	-0.11357509936546184	0.008271133409147868	-0.6	-0.6	Generation 1.
16	16	1	1	1.18929274023331	0.2608097278457078	0.8191680711780485	0.015319832139896183	0.6	0.3	Generation 1.
17	17	1	1	1.71651619454754	-0.14243164250759865	-0.3838141695830404	0.43464480324445387	-1.0	0.6	Generation 1.
18	18	1	1	0.905798461093235	-0.5810145330728713	-0.6547023581719895	0.09790503386131122	0.2	-0.3	Generation 1.
19	19	1	1	0.623785968630014	0.17563165780266687	0.5783813156701916	0.39801324486896106	-0.1	-0.3	Generation 1.
20	20	1	1	1.70167827258909	-0.49018109740036864	0.5558327190390557	-0.5499552279832491	0.7	0.6	Generation 1.
21	21	1	1	2.72516494104516	0.607237212030854	0.6726298955126573	-0.6737929452233706	-0.8	0.9	Generation 1.
22	22	1	1	2.11521590044835	-0.9824791653625367	0.2623797766230498	-0.584044041914755	-0.7	0.5	Generation 1.
23	23	1	1	1.62140927759724	0.41408845210793044	0.44674329243160504	0.018985839340738497	-1.0	-0.5	Generation 1.
24	24	1	1	1.57817407457713	-0.6935075343674779	0.4211495502966689	0.6479617509063196	0.7	-0.1	Generation 1.
25	25	1	1	1.54682575326967	0.23390277349257982	-0.03627528947880365	-0.8004994373485674	0.9	-0.2	Generation 1.
26	26	1	1	1.26945325298793	0.4770028440225549	0.0	0.04383537136068205	1.0	0.2	Generation 2.
27	27	1	1	1.20152778534904	0.406504998388015	0.4277955712880158	-0.896254662928434	0.1	-0.2	Generation 2.
28	28	1	1	2.1509507130499	0.5914091756319604	-0.7787780519753088	0.18625425039383692	1.0	-0.4	Generation 2.
29	29	1	1	2.14185382152657	0.3252798584777111	-0.12583570220806073	0.14216965655543612	1.0	1.0	Generation 2.
30	30	1	1	1.67663789364998	0.08464217007312425	-0.024893901506241954	-0.7930030834511853	-1.0	0.2	Generation 2.
31	31	1	1	1.28289246876305	0.31978541738683997	-0.6865062188603075	-0.24359590935788944	-0.4	0.7	Generation 2.
32	32	1	1	1.44424966243865	0.4653014390774063	-0.38954445705257257	-0.2569033849733343	-0.1	1.0	Generation 2.
33	33	1	1	0.959837671807597	0.23134414492221722	-0.6192447239841572	0.18125542815482806	0.0	-0.7	Generation 2.
34	34	1	1	1.68295638221733	0.154200522748553	-0.5901729084828768	0.2467276212633316	-0.5	1.0	Generation 2.
35	35	1	1	1.18590735231268	-0.10762991923407961	-0.6104522839796559	0.04087984567441816	-0.8	-0.4	Generation 2.
36	36	1	1	2.04518053945253	-0.03683079712673376	-0.20500327660391138	-0.042399155854744575	1.0	1.0	Generation 2.
37	37	1	1	2.07400447036935	0.11062502745840141	0.11526596124124677	-0.22018249668924583	1.0	1.0	Generation 2.
38	38	1	1	1.48537512884129	0.417888187146517	-0.4787463183492642	-0.20382971950064388	1.0	-0.2	Generation 2.
39	39	1	1	1.64193646383552	0.3424425314690095	-0.5893297670487764	0.13175736088299322	0.4	1.0	Generation 2.
40	40	1	1	0.173709962145098	-0.3327795776506606	-0.11357509936546184	0.008271133409147868	0.1	0.2	Generation 2.
41	41	1	1	1.98929274023331	0.2608097278457078	0.8191680711780485	0.015319832139896183	1.0	-0.5	Generation 2.
42	42	1	1	1.77151566036177	-0.4796452369954022	-0.5920921980775757	0.17573541465811587	0.4	1.0	Generation 2.
43	43	1	1	0.724082704391569	7.486575791627592E-4	0.29337971913983474	0.3286494854717246	-0.7	0.2	Generation 2.
44	44	1	1	0.923785968630014	0.17563165780266687	0.5783813156701916	0.39801324486896106	-0.6	0.2	Generation 2.
45	45	1	1	0.611005052234215	0.021742913471252345	0.5731696774207217	0.17891008589071422	0.0	0.5	Generation 2.
46	46	1	1	1.8436157086073	0.34087922204890336	0.7852988253975488	-0.14395422679402803	1.0	0.3	Generation 2.
47	47	1	1	1.35791347971374	0.017520834637463345	-0.07762886562938764	-0.5844486797730355	-0.1	1.0	Generation 2.
48	48	1	1	2.0996604520022	-0.351017213746632	-0.4001261476741941	0.07966450654561852	1.0	-0.9	Generation 2.
49	49	1	1	1.32218424241865	-0.02525175557005699	0.5420404694589103	0.45578363367725694	0.9	-0.1	Generation 2.
50	50	1	1	0.826825753269665	0.23390277349257982	-0.03627528947880365	-0.8004994373485674	0.3	0.2	Generation 2.
51	51	1	1	2.63654695481642	-0.2688794483694361	-1.0	-0.956164628639318	-0.1	-0.8	Generation 3.
52	52	1	1	3.40607975323708	0.3419033813201524	0.8617401199262218	-0.7393144099694431	-1.0	1.0	Generation 3.
53	53	1	1	2.71341264115942	0.10066067842336013	-0.4807264544173487	-0.8137457496061631	-1.0	-0.9	Generation 3.
54	54	1	1	1.65804237820884	-0.48636710614431133	-0.8741642977919393	0.6382211189984013	-0.4	-0.3	Generation 3.
55	55	1	1	2.2690823246575	-0.4368782178882201	0.01487296084730573	-0.7668106300958171	1.0	0.7	Generation 3.
56	56	1	1	0.992892468763049	0.31978541738683997	-0.6865062188603075	-0.24359590935788944	0.6	0.0	Generation 3.
57	57	1	1	2.74299695449922	0.5728423913432847	-0.6104555429474274	0.7430966150266657	1.0	-0.7	Generation 3.
58	58	1	1	0.822728484993728	0.5008859452571115	-0.7208223951956354	-0.04750609878789458	-0.2	-0.1	Generation 3.
59	59	1	1	1.59295638221733	0.154200522748553	-0.5901729084828768	0.2467276212633316	1.0	0.4	Generation 3.
60	60	1	1	3.18946853437827	0.7183301378575478	-0.10688055138755559	0.8136626421060026	1.0	1.0	Generation 3.
61	61	1	1	2.70090366229266	0.9631692028732662	-0.5244556797943145	-0.2194424499968495	-0.8	-0.9	Generation 3.
62	62	1	1	2.01392584989935	-0.14839918974218075	-0.5663529271645888	0.6254181739247082	-0.8	-0.8	Generation 3.
63	63	1	1	1.59771593132988	-0.24341607026590872	0.5212536816507358	-0.4761923428948984	-0.2	1.0	Generation 3.
64	64	1	1	1.94106673012019	-0.6575574685309905	-0.18596900779869913	0.4733924733639892	1.0	0.5	Generation 3.
65	65	1	1	1.1637099621451	-0.3327795776506606	-0.11357509936546184	0.008271133409147868	-1.0	-0.2	Generation 3.
