Simulation Number	Main Iteration	Sub Iteration	Step Number	f(x)	x1	x2	x3
1	1	1	1	3.0	-1.0	-1.0	-1.0	Function evaluation successful.
2	2	1	1	2.0	0.0	-1.0	-1.0	Function evaluation successful.
3	3	1	1	3.0	1.0	-1.0	-1.0	Function evaluation successful.
4	4	1	1	6.0	2.0	-1.0	-1.0	Function evaluation successful.
5	5	1	1	2.0	-1.0	0.0	-1.0	Function evaluation successful.
6	6	1	1	1.0	0.0	0.0	-1.0	Function evaluation successful.
7	7	1	1	2.0	1.0	0.0	-1.0	Function evaluation successful.
8	8	1	1	5.0	2.0	0.0	-1.0	Function evaluation successful.
9	9	1	1	3.0	-1.0	1.0	-1.0	Function evaluation successful.
10	10	1	1	2.0	0.0	1.0	-1.0	Function evaluation successful.
11	11	1	1	3.0	1.0	1.0	-1.0	Function evaluation successful.
12	12	1	1	6.0	2.0	1.0	-1.0	Function evaluation successful.
13	13	1	1	6.0	-1.0	2.0	-1.0	Function evaluation successful.
14	14	1	1	5.0	0.0	2.0	-1.0	Function evaluation successful.
15	15	1	1	6.0	1.0	2.0	-1.0	Function evaluation successful.
16	16	1	1	9.0	2.0	2.0	-1.0	Function evaluation successful.
17	17	1	1	11.0	-1.0	3.0	-1.0	Function evaluation successful.
18	18	1	1	10.0	0.0	3.0	-1.0	Function evaluation successful.
19	19	1	1	11.0	1.0	3.0	-1.0	Function evaluation successful.
20	20	1	1	14.0	2.0	3.0	-1.0	Function evaluation successful.
21	21	1	1	2.0	-1.0	-1.0	 0.0	Function evaluation successful.
22	22	1	1	1.0	0.0	-1.0	 0.0	Function evaluation successful.
23	23	1	1	2.0	1.0	-1.0	 0.0	Function evaluation successful.
24	24	1	1	5.0	2.0	-1.0	 0.0	Function evaluation successful.
25	25	1	1	1.0	-1.0	0.0	 0.0	Function evaluation successful.
26	26	1	1	0.0	0.0	0.0	 0.0	Function evaluation successful.
27	27	1	1	1.0	1.0	0.0	 0.0	Function evaluation successful.
28	28	1	1	4.0	2.0	0.0	 0.0	Function evaluation successful.
29	29	1	1	2.0	-1.0	1.0	 0.0	Function evaluation successful.
30	30	1	1	1.0	0.0	1.0	 0.0	Function evaluation successful.
31	31	1	1	2.0	1.0	1.0	 0.0	Function evaluation successful.
32	32	1	1	5.0	2.0	1.0	 0.0	Function evaluation successful.
33	33	1	1	5.0	-1.0	2.0	 0.0	Function evaluation successful.
34	34	1	1	4.0	0.0	2.0	 0.0	Function evaluation successful.
35	35	1	1	5.0	1.0	2.0	 0.0	Function evaluation successful.
36	36	1	1	8.0	2.0	2.0	 0.0	Function evaluation successful.
37	37	1	1	10.0	-1.0	3.0	 0.0	Function evaluation successful.
38	38	1	1	9.0	0.0	3.0	 0.0	Function evaluation successful.
39	39	1	1	10.0	1.0	3.0	 0.0	Function evaluation successful.
40	40	1	1	13.0	2.0	3.0	 0.0	Function evaluation successful.
41	41	1	1	3.0	-1.0	-1.0	 1.0	Function evaluation successful.
42	42	1	1	2.0	0.0	-1.0	 1.0	Function evaluation successful.
43	43	1	1	3.0	1.0	-1.0	 1.0	Function evaluation successful.
44	44	1	1	6.0	2.0	-1.0	 1.0	Function evaluation successful.
45	45	1	1	2.0	-1.0	0.0	 1.0	Function evaluation successful.
46	46	1	1	1.0	0.0	0.0	 1.0	Function evaluation successful.
