Simulation Number	Main Iteration	Sub Iteration	Step Number	f(x)	x1	x2	x3
47	47	1	1	2.0	1.0	0.0	 1.0	Function evaluation successful.
48	48	1	1	5.0	2.0	0.0	 1.0	Function evaluation successful.
49	49	1	1	3.0	-1.0	1.0	 1.0	Function evaluation successful.
50	50	1	1	2.0	0.0	1.0	 1.0	Function evaluation successful.
51	51	1	1	3.0	1.0	1.0	 1.0	Function evaluation successful.
52	52	1	1	6.0	2.0	1.0	 1.0	Function evaluation successful.
53	53	1	1	6.0	-1.0	2.0	 1.0	Function evaluation successful.
54	54	1	1	5.0	0.0	2.0	 1.0	Function evaluation successful.
55	55	1	1	6.0	1.0	2.0	 1.0	Function evaluation successful.
56	56	1	1	9.0	2.0	2.0	 1.0	Function evaluation successful.
57	57	1	1	11.0	-1.0	3.0	 1.0	Function evaluation successful.
58	58	1	1	10.0	0.0	3.0	 1.0	Function evaluation successful.
59	59	1	1	11.0	1.0	3.0	 1.0	Function evaluation successful.
60	60	1	1	14.0	2.0	3.0	 1.0	Function evaluation successful.
61	61	1	1	6.0	-1.0	-1.0	 2.0	Function evaluation successful.
62	62	1	1	5.0	0.0	-1.0	 2.0	Function evaluation successful.
63	63	1	1	6.0	1.0	-1.0	 2.0	Function evaluation successful.
64	64	1	1	9.0	2.0	-1.0	 2.0	Function evaluation successful.
65	65	1	1	5.0	-1.0	0.0	 2.0	Function evaluation successful.
66	66	1	1	4.0	0.0	0.0	 2.0	Function evaluation successful.
67	67	1	1	5.0	1.0	0.0	 2.0	Function evaluation successful.
68	68	1	1	8.0	2.0	0.0	 2.0	Function evaluation successful.
69	69	1	1	6.0	-1.0	1.0	 2.0	Function evaluation successful.
70	70	1	1	5.0	0.0	1.0	 2.0	Function evaluation successful.
71	71	1	1	6.0	1.0	1.0	 2.0	Function evaluation successful.
72	72	1	1	9.0	2.0	1.0	 2.0	Function evaluation successful.
73	73	1	1	9.0	-1.0	2.0	 2.0	Function evaluation successful.
74	74	1	1	8.0	0.0	2.0	 2.0	Function evaluation successful.
75	75	1	1	9.0	1.0	2.0	 2.0	Function evaluation successful.
76	76	1	1	12.0	2.0	2.0	 2.0	Function evaluation successful.
77	77	1	1	14.0	-1.0	3.0	 2.0	Function evaluation successful.
78	78	1	1	13.0	0.0	3.0	 2.0	Function evaluation successful.
79	79	1	1	14.0	1.0	3.0	 2.0	Function evaluation successful.
80	80	1	1	17.0	2.0	3.0	 2.0	Function evaluation successful.
81	81	1	1	11.0	-1.0	-1.0	 3.0	Function evaluation successful.
82	82	1	1	10.0	0.0	-1.0	 3.0	Function evaluation successful.
83	83	1	1	11.0	1.0	-1.0	 3.0	Function evaluation successful.
84	84	1	1	14.0	2.0	-1.0	 3.0	Function evaluation successful.
85	85	1	1	10.0	-1.0	0.0	 3.0	Function evaluation successful.
86	86	1	1	9.0	0.0	0.0	 3.0	Function evaluation successful.
87	87	1	1	10.0	1.0	0.0	 3.0	Function evaluation successful.
88	88	1	1	13.0	2.0	0.0	 3.0	Function evaluation successful.
89	89	1	1	11.0	-1.0	1.0	 3.0	Function evaluation successful.
90	90	1	1	10.0	0.0	1.0	 3.0	Function evaluation successful.
91	91	1	1	11.0	1.0	1.0	 3.0	Function evaluation successful.
92	92	1	1	14.0	2.0	1.0	 3.0	Function evaluation successful.
93	93	1	1	14.0	-1.0	2.0	 3.0	Function evaluation successful.
94	94	1	1	13.0	0.0	2.0	 3.0	Function evaluation successful.
95	95	1	1	14.0	1.0	2.0	 3.0	Function evaluation successful.
96	96	1	1	17.0	2.0	2.0	 3.0	Function evaluation successful.
97	97	1	1	19.0	-1.0	3.0	 3.0	Function evaluation successful.
98	98	1	1	18.0	0.0	3.0	 3.0	Function evaluation successful.
99	99	1	1	19.0	1.0	3.0	 3.0	Function evaluation successful.
100	100	1	1	22.0	2.0	3.0	 3.0	Function evaluation successful.
101	101	1	1	18.0	-1.0	-1.0	 4.0	Function evaluation successful.
102	102	1	1	17.0	0.0	-1.0	 4.0	Function evaluation successful.
103	103	1	1	18.0	1.0	-1.0	 4.0	Function evaluation successful.
104	104	1	1	21.0	2.0	-1.0	 4.0	Function evaluation successful.
105	105	1	1	17.0	-1.0	0.0	 4.0	Function evaluation successful.
106	106	1	1	16.0	0.0	0.0	 4.0	Function evaluation successful.
107	107	1	1	17.0	1.0	0.0	 4.0	Function evaluation successful.
108	108	1	1	20.0	2.0	0.0	 4.0	Function evaluation successful.
109	109	1	1	18.0	-1.0	1.0	 4.0	Function evaluation successful.
110	110	1	1	17.0	0.0	1.0	 4.0	Function evaluation successful.
111	111	1	1	18.0	1.0	1.0	 4.0	Function evaluation successful.
112	112	1	1	21.0	2.0	1.0	 4.0	Function evaluation successful.
113	113	1	1	21.0	-1.0	2.0	 4.0	Function evaluation successful.
114	114	1	1	20.0	0.0	2.0	 4.0	Function evaluation successful.
115	115	1	1	21.0	1.0	2.0	 4.0	Function evaluation successful.
116	116	1	1	24.0	2.0	2.0	 4.0	Function evaluation successful.
117	117	1	1	26.0	-1.0	3.0	 4.0	Function evaluation successful.
118	118	1	1	25.0	0.0	3.0	 4.0	Function evaluation successful.
119	119	1	1	26.0	1.0	3.0	 4.0	Function evaluation successful.
120	120	1	1	29.0	2.0	3.0	 4.0	Function evaluation successful.
