Simulation Number	Main Iteration	Sub Iteration	Step Number	f(x)	x1	x2	x3	x4	x5
1	1	1	1	5.0	1.0	1.0	1.0	-1.0	-1.0	Generation 1.
2	2	1	1	1.55728325357972	0.4617563814065817	-0.17983837701559668	-0.5845703173805659	0.4	-0.9	Generation 1.
3	3	1	1	3.08095186894653	0.9355118188482414	-0.9877656354684774	0.9274095940464153	-0.1	0.6	Generation 1.
4	4	1	1	2.45638886068983	0.8943898353263877	0.8741642977919393	-0.2056513156305888	-0.6	0.7	Generation 1.
5	5	1	1	1.65974328385763	-0.41188593599192647	0.012967254652470173	-0.7680658239346845	0.9	0.3	Generation 1.
6	6	1	1	0.952892468763049	0.31978541738683997	-0.6865062188603075	-0.24359590935788944	-0.4	0.4	Generation 1.
7	7	1	1	1.55467513452482	0.38989595920498377	0.6104555429474274	-0.9899496480150949	-0.1	0.2	Generation 1.
8	8	1	1	0.85204011800253	0.4879689724746332	-0.7159545935681477	-0.03654339684880403	-0.1	-0.3	Generation 1.
9	9	1	1	0.442956382217327	0.154200522748553	-0.5901729084828768	0.2467276212633316	0.0	-0.1	Generation 1.
10	10	1	1	2.28188022424209	-0.9786311780355423	-0.6779133532565955	-0.6438903067256505	-0.3	0.6	Generation 1.
11	11	1	1	1.8518085911445	0.9476680198374003	-0.5091468928374088	-0.21095818741155647	-0.7	0.4	Generation 1.
12	12	1	1	1.59143091549623	-0.13598624021292172	-0.5336884104973332	0.7798175033107542	-0.2	-0.8	Generation 1.
13	13	1	1	0.968540502244199	0.18475848772587744	0.31034720625883283	-0.7603219153916208	0.1	-0.5	Generation 1.
14	14	1	1	1.92513685045532	0.9686456013385898	-0.5865249852789853	-0.2507009994120597	-0.7	0.3	Generation 1.
15	15	1	1	0.843709962145099	-0.3327795776506606	-0.11357509936546184	0.008271133409147868	-0.6	-0.6	Generation 1.
16	16	1	1	1.18929274023331	0.2608097278457078	0.8191680711780485	0.015319832139896183	0.6	0.3	Generation 1.
17	17	1	1	1.71651619454754	-0.14243164250759865	-0.3838141695830404	0.43464480324445387	-1.0	0.6	Generation 1.
18	18	1	1	0.905798461093235	-0.5810145330728713	-0.6547023581719895	0.09790503386131122	0.2	-0.3	Generation 1.
19	19	1	1	0.623785968630014	0.17563165780266687	0.5783813156701916	0.39801324486896106	-0.1	-0.3	Generation 1.
20	20	1	1	1.70167827258909	-0.49018109740036864	0.5558327190390557	-0.5499552279832491	0.7	0.6	Generation 1.
21	21	1	1	2.72516494104516	0.607237212030854	0.6726298955126573	-0.6737929452233706	-0.8	0.9	Generation 1.
22	22	1	1	2.11521590044835	-0.9824791653625367	0.2623797766230498	-0.584044041914755	-0.7	0.5	Generation 1.
23	23	1	1	1.62140927759724	0.41408845210793044	0.44674329243160504	0.018985839340738497	-1.0	-0.5	Generation 1.
24	24	1	1	1.57817407457713	-0.6935075343674779	0.4211495502966689	0.6479617509063196	0.7	-0.1	Generation 1.
25	25	1	1	1.54682575326967	0.23390277349257982	-0.03627528947880365	-0.8004994373485674	0.9	-0.2	Generation 1.
26	26	1	1	2.39613904499232	0.8091468872505319	0.5268037913796437	0.6510745926797679	1.0	0.2	Generation 2.
27	27	1	1	0.734398782405655	0.44159394206578095	0.041900554297053	-0.698310759108048	0.1	-0.2	Generation 2.
28	28	1	1	3.0784175252103	0.8099412305332657	-0.9115014906642546	0.6569457822449289	1.0	-0.4	Generation 2.
29	29	1	1	2.69241728524388	0.6867091446439476	0.46330378248401344	-0.07872382766522049	1.0	1.0	Generation 2.
30	30	1	1	1.69720645508037	-0.2306919590705686	-8.491101644267102E-4	-0.777165975910216	-1.0	0.2	Generation 2.
31	31	1	1	1.28289246876305	0.31978541738683997	-0.6865062188603075	-0.24359590935788944	-0.4	0.7	Generation 2.
32	32	1	1	1.76294464802243	0.41741306974284653	0.2382943017639062	-0.7224450172692273	-0.1	1.0	Generation 2.
33	33	1	1	1.11063470965192	0.3943209543403123	-0.6806630447848582	0.04293616289647405	0.0	-0.7	Generation 2.
34	34	1	1	1.68295638221733	0.154200522748553	-0.5901729084828768	0.2467276212633316	-0.5	1.0	Generation 2.
35	35	1	1	1.81866807013242	-0.6607837489414284	-0.6532953320804599	-0.39400268571320096	-0.8	-0.4	Generation 2.
36	36	1	1	2.52708238234411	0.5884028468469051	-0.39815822833395215	-0.14944730635422096	1.0	1.0	Generation 2.
37	37	1	1	2.21113488485436	-0.04599238931673426	-0.2968707520012613	0.3476885698229089	1.0	1.0	Generation 2.
38	38	1	1	1.42383374392116	0.26983261920106993	0.022389702665067235	-0.5572457292351514	1.0	-0.2	Generation 2.
39	39	1	1	2.06535691955064	0.7401303910129792	-0.5875485115548541	-0.1111335701725088	0.4	1.0	Generation 2.
40	40	1	1	0.173709962145098	-0.3327795776506606	-0.11357509936546184	0.008271133409147868	0.1	0.2	Generation 2.
41	41	1	1	1.98929274023331	0.2608097278457078	0.8191680711780485	0.015319832139896183	1.0	-0.5	Generation 2.
42	42	1	1	1.55762881748581	-0.2654882661122779	-0.4598193822332193	0.34016309877052886	0.4	1.0	Generation 2.
43	43	1	1	0.794427402479343	-0.368716407643311	-0.30872645079105726	0.18210873618778356	-0.7	0.2	Generation 2.
44	44	1	1	0.923785968630014	0.17563165780266687	0.5783813156701916	0.39801324486896106	-0.6	0.2	Generation 2.
45	45	1	1	0.738698328372803	-0.30336881773616536	0.5621593547290051	-0.28397631712668014	0.0	0.5	Generation 2.
46	46	1	1	2.09039605208758	0.510037349827513	0.7137452548084361	-0.48044319654559775	1.0	0.3	Generation 2.
47	47	1	1	1.70363535608404	-0.5772587295032958	0.1383031788941005	-0.5841917031284088	-0.1	1.0	Generation 2.
48	48	1	1	1.84884731254633	0.13488464336504868	0.13770209232312608	0.0411288135064333	1.0	-0.9	Generation 2.
49	49	1	1	1.57254318067105	-0.4496463698493901	0.46526529349251355	0.5778317483694022	0.9	-0.1	Generation 2.
50	50	1	1	0.826825753269665	0.23390277349257982	-0.03627528947880365	-0.8004994373485674	0.3	0.2	Generation 2.
51	51	1	1	1.09218675013165	0.6248575309430118	0.20287870770688832	0.1028593511288095	-0.1	-0.8	Generation 3.
52	52	1	1	2.75097474356509	0.4342362265125818	0.122817945099432	-0.7398171365349371	-1.0	1.0	Generation 3.
53	53	1	1	2.59360870140286	0.6492271342934003	-0.5862968609954388	0.13553162098540905	-1.0	-0.9	Generation 3.
54	54	1	1	1.49895559974758	0.632515268805741	0.35609052312777434	-0.04560234438891201	-0.4	-0.9	Generation 3.
55	55	1	1	2.13134258914689	-0.18340974012358968	-0.004454463926309136	-0.7795406430237073	1.0	0.7	Generation 3.
56	56	1	1	0.992892468763049	0.31978541738683997	-0.6865062188603075	-0.24359590935788944	0.6	0.0	Generation 3.
57	57	1	1	2.53872666153044	0.4101288418879474	0.3775609833182151	-0.8590510453156303	1.0	-0.7	Generation 3.
58	58	1	1	0.641718781579288	0.3698836845556802	-0.6714537831697565	0.06367620078038655	-0.2	-0.1	Generation 3.
59	59	1	1	1.59295638221733	0.154200522748553	-0.5901729084828768	0.2467276212633316	1.0	0.4	Generation 3.
60	60	1	1	2.45379030722782	-0.44248698374857154	-0.4759683649473883	-0.17734061015519606	1.0	1.0	Generation 3.
61	61	1	1	1.84878206524643	0.4946532925958081	-0.36919595031097524	-0.13339616053143893	-0.8	-0.9	Generation 3.
62	62	1	1	1.39095618032036	-0.022508667427887354	-0.23507364058633817	0.2349253577467993	-0.8	-0.8	Generation 3.
63	63	1	1	1.23627471067601	0.024825123285451972	0.07426565437417275	-0.43605393761580713	-0.2	1.0	Generation 3.
64	64	1	1	1.65451495257456	0.5286065692222419	-0.4391607051366607	-0.14909031696766048	1.0	0.4	Generation 3.
65	65	1	1	1.1637099621451	-0.3327795776506606	-0.11357509936546184	0.008271133409147868	-1.0	-0.2	Generation 3.
